GroupName	Name	Category	Kind	Value
Kernel	KingsoftAntivirus	Antivirus	Driver	C:\WINDOWS\system32\Drivers\KAVBootC64.sys
	KingsoftAntivirus		Driver	c:\program files (x86)\kingsoft\kingsoft antivirus\security\kxescan\kdhacker64.sys
	KingsoftAntivirus		Driver	C:\WINDOWS\system32\drivers\kisknl.sys
	KingsoftAntivirus		Driver	c:\program files (x86)\kingsoft\kingsoft antivirus\security\ksde\kisnetflt64.sys
	KingsoftAntivirus		Driver	C:\WINDOWS\system32\drivers\ksapi64.sys
	KingsoftAntivirus		Driver	C:\WINDOWS\system32\Drivers\ksthlp64.sys
	KingsoftAntivirus		Driver	C:\WINDOWS\system32\drivers\kisnetflt64.sys
	KingsoftAntivirus		Service	KSafeSvc
	KingsoftAntivirus		Service	kxescore
	KingsoftAntivirus		Service	KWatchSvc
	KingsoftAntivirus		Service	KSDE1.0.0.1003
Kernel	HuoRongSecurity	Antivirus	Driver	C:\WINDOWS\system32\DRIVERS\hrdevmon.sys
	HuoRongSecurity		Driver	C:\WINDOWS\system32\DRIVERS\hrwfpdrv.sys
	HuoRongSecurity		Driver	C:\WINDOWS\system32\DRIVERS\sysdiag.sys
	HuoRongSecurity		Driver	C:\WINDOWS\system32\DRIVERS\nxeng.sys
	HuoRongSecurity		Driver	C:\WINDOWS\system32\DRIVERS\hrdevflt.sys
	HuoRongSecurity		Service	HipsDaemon
	HuoRongSecurity		Service	wsctrlsvc
	HuoRongSecurity		Service	HrAppXSrv
Kernel	360Antivirus	Antivirus	Driver	C:\WINDOWS\system32\DRIVERS\360AvFlt.sys
	360Antivirus		Driver	C:\WINDOWS\system32\DRIVERS\360Box64.sys
	360Antivirus		Driver	C:\WINDOWS\system32\DRIVERS\360FsFlt.sys
	360Antivirus		Driver	C:\WINDOWS\system32\DRIVERS\360Hvm64.sys
	360Antivirus		Driver	C:\WINDOWS\system32\DRIVERS\360netmon.sys
	360Antivirus		Driver	C:\WINDOWS\system32\DRIVERS\360AntiHacker64.sys
	360Antivirus		Driver	C:\WINDOWS\system32\DRIVERS\360AntiSteal64.sys
	360Antivirus		Driver	C:\Program Files (x86)\360\360safe
	360Antivirus		Driver	C:\Program Files\360\360safe
	360Antivirus		Service	ZhuDongFangYu
	360Antivirus		Service	360rp
	360Antivirus		Service	360sd
	360Antivirus		Service	QHActiveDefense
	360Antivirus		Service	QHSafeMainSvc
Kernel	DASEDR	Antivirus	Driver	C:\windows\SYSTEM32\drivers\nfw_*.sys
	DASEDR		Driver	C:\windows\SYSTEM32\drivers\sysmon?.sys
	DASEDR		Driver	C:\windows\SYSTEM32\drivers\dasnfw.sys
	DASEDR		Driver	C:\Windows\ShellExt.dll
	DASEDR		Driver	C:\Windows\ShellExt.dll.bak
	DASEDR		Driver	C:\Windows\dasec
	DASEDR		Driver	C:\Program Files (x86)\DBAppSecurity
	DASEDR		Service	DASAgent
	DASEDR		Service	dasnfw
Kernel	YunTianEDR	Antivirus	Driver	C:\Windows\sedisk.sys
	YunTianEDR		Driver	C:\Windows\SYSTEM32\ProcMon.sys
	YunTianEDR		Driver	C:\windows\SYSTEM32\vgwdrv.sys
	YunTianEDR		Driver	C:\Windows\SYSTEM32\ytdisk.sys
	YunTianEDR		Driver	C:\windows\SYSTEM32\YtMiniFilter.sys
	YunTianEDR		Driver	C:\Windows\SYSTEM32\drivers\ProcMon.sys
	YunTianEDR		Driver	C:\windows\SYSTEM32\drivers\vgwdrv.sys
	YunTianEDR		Driver	C:\Windows\SYSTEM32\drivers\ytdisk.sys
	YunTianEDR		Driver	C:\windows\SYSTEM32\drivers\YtMiniFilter.sys
	YunTianEDR		Driver	C:\Windows\SysWOW64\ProcMon.sys
	YunTianEDR		Driver	C:\windows\SysWOW64\vgwdrv.sys
	YunTianEDR		Driver	C:\Windows\SysWOW64\ytdisk.sys
	YunTianEDR		Driver	C:\windows\SysWOW64\YtMiniFilter.sys
	YunTianEDR		Driver	C:\Windows\SysWOW64\drivers\ProcMon.sys
	YunTianEDR		Driver	C:\windows\SysWOW64\drivers\vgwdrv.sys
	YunTianEDR		Driver	C:\Windows\SysWOW64\drivers\ytdisk.sys
	YunTianEDR		Driver	C:\windows\SysWOW64\drivers\YtMiniFilter.sys
	YunTianEDR		Driver	C:\windows\SysWOW64\MANC.exe
	YunTianEDR		Driver	C:\windows\SysWOW64\msres
	YunTianEDR		Service	YtSvc
	YunTianEDR		Service	YtMiniFilter
	YunTianEDR		Service	MANC
Kernel	RisingAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\esmshield.sys
	RisingAntivirus		Driver	C:\Program Files (x86)\Rising\REC\ep\hookesm.sys
	RisingAntivirus		Driver	C:\Program Files (x86)\Rising\REC\xav\rsutils.sys
	RisingAntivirus		Driver	C:\Program Files\Rising
	RisingAntivirus		Driver	C:\Program Files (x86)\Rising
	RisingAntivirus		Service	RsMain
	RisingAntivirus		Service	rsmain
	RisingAntivirus		Service	RsWatchDog
Kernel	TencentPCManager	Antivirus	Driver	C:\WINDOWS\system32\drivers\qmbsecx64.sys
	TencentPCManager		Driver	C:\WINDOWS\system32\Drivers\TAOAcceleratorEx64_ev.sys
	TencentPCManager		Driver	C:\WINDOWS\system32\Drivers\TAOKernelEx64_ev.sys
	TencentPCManager		Driver	C:\WINDOWS\system32\Drivers\TFsFltX64_ev.sys
	TencentPCManager		Driver	C:\WINDOWS\system32\Drivers\QQSysMonX64_EV.sys
	TencentPCManager		Driver	C:\Program Files (x86)\Tencent\QQPCMgr
	TencentPCManager		Driver	C:\Program Files\Tencent\QQPCMgr
	TencentPCManager		Service	QQPCRTP
	TencentPCManager		Service	QQPCTRV
	TencentPCManager		Service	QQPCMgrUpdateSvc
	TencentPCManager		Service	QPCore
Kernel	KasperskyAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\klif.sys
	KasperskyAntivirus		Driver	C:\WINDOWS\system32\drivers\klflt.sys
	KasperskyAntivirus		Driver	C:\WINDOWS\system32\drivers\klim6.sys
	KasperskyAntivirus		Driver	C:\WINDOWS\system32\drivers\klbackupdisk.sys
	KasperskyAntivirus		Driver	C:\WINDOWS\system32\drivers\klbackupflt.sys
	KasperskyAntivirus		Driver	C:\Program Files (x86)\Kaspersky Lab
	KasperskyAntivirus		Driver	C:\Program Files\Kaspersky Lab
	KasperskyAntivirus		Service	AVP
	KasperskyAntivirus		Service	klnagent
	KasperskyAntivirus		Service	klif
Kernel	AvastAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\aswSnx.sys
	AvastAntivirus		Driver	C:\WINDOWS\system32\drivers\aswSP.sys
	AvastAntivirus		Driver	C:\WINDOWS\system32\drivers\aswRdr2.sys
	AvastAntivirus		Driver	C:\WINDOWS\system32\drivers\aswStm.sys
