GroupName	Name	Category	PackageName
Uninstall	UninstallCortana		Microsoft.549981C3F5F10
Uninstall	UninstallSkype		Microsoft.SkypeApp
Uninstall	UninstallCopilot		Microsoft.Copilot
Uninstall	UninstallTeams		MSTeams
Uninstall	UninstallTeamsLegacy		MicrosoftTeams
Uninstall	UninstallPhoneLink		Microsoft.YourPhone
Uninstall	UninstallXboxGamingApp	Personal	Microsoft.GamingApp
Uninstall	UninstallPCManager		Microsoft.PCManager
Uninstall	UninstallBingSearch		Microsoft.BingSearch
Uninstall	UninstallCrossDevice		MicrosoftWindows.CrossDevice
Uninstall	UninstallStartExperiencesApp		Microsoft.StartExperiencesApp
Uninstall	UninstallGamingServices	Personal	Microsoft.GamingServices
