GroupName	Name	Category	KeyPath	ValueName	ValueType	DefaultValue	OptimizingValue	DeleteDefaultValue	ShouldTurnOffTamperProtection	ShouldUpdateGroupPolicy	ShouldReboot	shouldRestartExplorer
Kernel	DisableWindowsRealTimeAntivirus	Antivirus	HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows Defender	DisableAntiSpyware	int	0	0	TRUE	TRUE	TRUE		
	DisableWindowsRealTimeAntivirus		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows Defender	DisableRoutinelyTakingAction	int	0	1	TRUE				
	DisableWindowsRealTimeAntivirus		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection	DisableRealtimeMonitoring	int	0	1	TRUE				
	DisableWindowsRealTimeAntivirus		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection	DisableBehaviorMonitoring	int	0	1	TRUE				
	DisableWindowsRealTimeAntivirus		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection	DisableIOAVProtection	int	0	0	TRUE				
	DisableWindowsRealTimeAntivirus		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection	DisableOnAccessProtection	int	0	1	TRUE				
Kernel	DisableMeltdownAndSpectrePatches		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management	FeatureSettings	int	0	1				TRUE	
	DisableMeltdownAndSpectrePatches		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management	FeatureSettingsOverride	int	0	3	TRUE				
	DisableMeltdownAndSpectrePatches		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management	FeatureSettingsOverrideMask	int	0	3	TRUE				
Kernel	DisableKernelMemoryIntegrityProtection		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\DeviceGuard\Scenarios\HypervisorEnforcedCodeIntegrity	Enabled	int	1	0	TRUE			TRUE	
Kernel	DisableWindowsDefenderApplicationControl		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\CI\Policy	VerifiedAndReputablePolicyState	int	1	0	TRUE				
Kernel	DisableSmartScreen	Antivirus	HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Explorer	SmartScreenEnabled	string	Warn	Off		TRUE			
	DisableSmartScreen		HKEY_CURRENT_USER\Software\Microsoft\Edge\SmartScreenEnabled		int	1	0					
	DisableSmartScreen		HKEY_CURRENT_USER\Software\Microsoft\Edge\SmartScreenPuaEnabled		int	1	0					
Kernel	DisableFastStartup		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session Manager\Power	HiberbootEnabled	int	1	0					
Kernel	DisableWindowsPlatformBinaryTable		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session Manager	DisableWpbtExecution	int	0	1	TRUE			TRUE	
System	DisableSystemRestore		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\SystemRestore	DisableSR	int	0	1	TRUE				
System	DisableMicrosoftCustomerExperienceImprovementProgram		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\SQMClient\Windows	CEIPEnable	int	1	0	TRUE				
System	DisableUAC		HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System	EnableLUA	int	1	0				TRUE	
System	DisableWarningForOpeningDownloadedFiles		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3	1806	int	1	0					
System	ShowKeyboardAccessKeyUnderlines	Personal	HKEY_CURRENT_USER\Control Panel\Accessibility\Keyboard Preference	On	string	0	1				TRUE	
System	ReduceMenuDelay		HKEY_CURRENT_USER\Control Panel\Desktop	MenuShowDelay	string	400	100					
System	ReduceMouseHoverTime		HKEY_CURRENT_USER\Control Panel\Mouse	MouseHoverTime	string	400	100					
System	TurnOnGameMode		HKEY_CURRENT_USER\Software\Microsoft\GameBar	AutoGameModeEnabled	int	1	1	TRUE				
System	DisableGameDvrCapture		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\GameDVR	AllowGameDVR	int	1	0	TRUE		TRUE		
Display	DisableTaskbarAndWindowTransparency		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Themes\Personalize	EnableTransparency	int	1	0					
Explorer	ShowFileExtensions		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	HideFileExt	int	1	0	FALSE				
Explorer	DisplayThisPCWhenOpeningFileExplorer		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	LaunchTo	int	0	1	TRUE				
Explorer	DoNotAddShortcutTextWhenCreatingShortcuts		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer	Link	binary		00000000	TRUE				
Explorer	PreventSnapLayoutsFromShowingWhenDraggingWindowsToTheTopOfTheScreen		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	EnableSnapBar	int	1	0					TRUE
